#PSB_CHARACTER_TOOL_ANIMATION_DATA
#SCENE 0 20 30 160 38

#OBJECT 0
	*NodeName swat:Hips
	*ANIMATION 0 20 20
		0    -0.7104     0.4786     0.5160     2.0376
		160    -0.7010     0.4883     0.5198     2.0562
		320    -0.6950     0.5012     0.5155     2.0413
		480    -0.6907     0.5118     0.5109     1.9957
		640    -0.6864     0.5119     0.5165     1.9597
		800    -0.6826     0.4995     0.5334     1.9552
		960    -0.6809     0.4813     0.5521     1.9653
		1120    -0.6829     0.4660     0.5625     1.9662
		1280    -0.6876     0.4588     0.5627     1.9563
		1440    -0.6911     0.4593     0.5581     1.9490
		1600    -0.6911     0.4636     0.5545     1.9512
		1760    -0.6884     0.4675     0.5545     1.9600
		1920    -0.6848     0.4701     0.5568     1.9711
		2080    -0.6814     0.4736     0.5581     1.9843
		2240    -0.6783     0.4799     0.5564     2.0017
		2400    -0.6743     0.4909     0.5516     2.0268
		2560    -0.6669     0.5050     0.5479     2.0642
		2720    -0.6562     0.5101     0.5561     2.1114
		2880    -0.6498     0.4986     0.5737     2.1462
		3040    -0.6498     0.4986     0.5737     2.1462
		0     0.0006    40.0099    -0.0021
		160    -0.7035    42.7819     0.0022
		320    -0.9293    45.5791     0.0087
		480    -0.6841    47.3701     0.0139
		640    -0.1814    48.6803     0.0168
		800     0.5559    49.7757     0.0164
		960     1.3805    50.5470     0.0114
		1120     1.9987    50.8573     0.0052
		1280     2.2781    50.9418     0.0008
		1440     2.3137    50.9904     0.0005
		1600     2.2098    50.9311     0.0030
		1760     2.0443    50.6266     0.0074
		1920     1.7972    49.9869     0.0152
		2080     1.4818    48.9983     0.0210
		2240     1.1699    47.6815     0.0210
		2400     0.7955    46.0036     0.0210
		2560     0.3462    43.8902     0.0210
		2720     0.0466    41.2541     0.0210
		2880    -0.0076    38.5807     0.0210
		3040    -0.0076    38.5807     0.0210

#OBJECT 1
	*NodeName swat:Spine
	*ANIMATION 0 20 0
		0    -0.4456    -0.1712    -0.8787     0.3317
		160    -0.2657    -0.1706    -0.9488     0.3365
		320    -0.2741    -0.2066    -0.9393     0.3508
		480    -0.4318    -0.2159    -0.8758     0.3630
		640    -0.5812    -0.1849    -0.7925     0.3824
		800    -0.6664    -0.1359    -0.7331     0.4025
		960    -0.7184    -0.0882    -0.6901     0.4181
		1120    -0.7627    -0.0620    -0.6438     0.4294
		1280    -0.8005    -0.0715    -0.5951     0.4402
		1440    -0.8234    -0.1063    -0.5574     0.4519
		1600    -0.8300    -0.1406    -0.5398     0.4593
		1760    -0.8242    -0.1605    -0.5431     0.4570
		1920    -0.8082    -0.1686    -0.5643     0.4466
		2080    -0.7817    -0.1774    -0.5979     0.4334
		2240    -0.7468    -0.1975    -0.6350     0.4217
		2400    -0.7041    -0.2355    -0.6699     0.4143
		2560    -0.6533    -0.2744    -0.7057     0.4132
		2720    -0.6086    -0.2522    -0.7524     0.4122
		2880    -0.5970    -0.1728    -0.7834     0.4089
		3040    -0.5970    -0.1728    -0.7834     0.4089

#OBJECT 2
	*NodeName swat:Spine1
	*ANIMATION 0 20 0
		0    -0.5282    -0.1524    -0.8354     0.0913
		160    -0.3576    -0.1363    -0.9239     0.0915
		320    -0.3150    -0.1491    -0.9373     0.0977
		480    -0.4287    -0.1662    -0.8880     0.1021
		640    -0.5635    -0.1565    -0.8112     0.1087
		800    -0.6423    -0.1202    -0.7569     0.1162
		960    -0.6851    -0.0733    -0.7248     0.1219
		1120    -0.7204    -0.0401    -0.6924     0.1257
		1280    -0.7513    -0.0378    -0.6589     0.1293
		1440    -0.7705    -0.0604    -0.6346     0.1335
		1600    -0.7756    -0.0867    -0.6252     0.1371
		1760    -0.7691    -0.1016    -0.6310     0.1388
		1920    -0.7527    -0.1038    -0.6501     0.1384
		2080    -0.7290    -0.1036    -0.6766     0.1373
		2240    -0.7017    -0.1113    -0.7038     0.1360
		2400    -0.6715    -0.1319    -0.7292     0.1346
		2560    -0.6372    -0.1561    -0.7547     0.1343
		2720    -0.6078    -0.1400    -0.7817     0.1351
		2880    -0.6000    -0.0839    -0.7956     0.1366
		3040    -0.6000    -0.0839    -0.7956     0.1366

#OBJECT 3
	*NodeName swat:Spine2
	*ANIMATION 0 20 0
		0    -0.5277    -0.1622    -0.8338     0.0912
		160    -0.3612    -0.1452    -0.9211     0.0915
		320    -0.3209    -0.1533    -0.9346     0.0977
		480    -0.4354    -0.1663    -0.8848     0.1021
		640    -0.5703    -0.1538    -0.8069     0.1087
		800    -0.6492    -0.1165    -0.7516     0.1162
		960    -0.6919    -0.0699    -0.7186     0.1220
		1120    -0.7276    -0.0369    -0.6851     0.1259
		1280    -0.7595    -0.0335    -0.6497     0.1294
		1440    -0.7795    -0.0541    -0.6240     0.1336
		1600    -0.7850    -0.0785    -0.6145     0.1373
		1760    -0.7782    -0.0920    -0.6213     0.1389
		1920    -0.7610    -0.0935    -0.6420     0.1386
		2080    -0.7363    -0.0932    -0.6702     0.1374
		2240    -0.7078    -0.1010    -0.6992     0.1361
		2400    -0.6764    -0.1216    -0.7265     0.1347
		2560    -0.6408    -0.1462    -0.7537     0.1344
		2720    -0.6098    -0.1321    -0.7815     0.1351
		2880    -0.5995    -0.0782    -0.7965     0.1366
		3040    -0.5995    -0.0782    -0.7965     0.1366

#OBJECT 4
	*NodeName swat:Neck
	*ANIMATION 0 20 0
		0     0.9756    -0.0971    -0.1968     0.4454
		160     0.9774    -0.0487    -0.2059     0.4364
		320     0.9761    -0.0685    -0.2062     0.4069
		480     0.9694    -0.1275    -0.2099     0.3763
		640     0.9589    -0.1699    -0.2274     0.3537
		800     0.9480    -0.1976    -0.2496     0.3362
		960     0.9341    -0.2439    -0.2607     0.3242
		1120     0.9157    -0.3069    -0.2593     0.3186
		1280     0.8975    -0.3597    -0.2553     0.3148
		1440     0.8840    -0.3916    -0.2553     0.3095
		1600     0.8745    -0.4090    -0.2605     0.3019
		1760     0.8640    -0.4255    -0.2694     0.2913
		1920     0.8484    -0.4508    -0.2775     0.2793
		2080     0.8254    -0.4890    -0.2821     0.2691
		2240     0.7935    -0.5392    -0.2823     0.2627
		2400     0.7581    -0.5900    -0.2778     0.2608
		2560     0.7388    -0.6164    -0.2725     0.2639
		2720     0.7578    -0.5875    -0.2840     0.2669
		2880     0.7910    -0.5250    -0.3142     0.2611
		3040     0.7910    -0.5250    -0.3142     0.2611

#OBJECT 5
	*NodeName swat:Neck1
	*ANIMATION 0 20 0
		0     0.9516    -0.1329    -0.2773     0.3285
		160     0.9553    -0.0643    -0.2886     0.3235
		320     0.9553    -0.0846    -0.2831     0.3087
		480     0.9478    -0.1549    -0.2787     0.2944
		640     0.9349    -0.2017    -0.2922     0.2850
		800     0.9218    -0.2287    -0.3130     0.2781
		960     0.9054    -0.2774    -0.3214     0.2744
		1120     0.8839    -0.3452    -0.3154     0.2747
		1280     0.8637    -0.4000    -0.3067     0.2758
		1440     0.8504    -0.4298    -0.3035     0.2749
		1600     0.8429    -0.4422    -0.3065     0.2719
		1760     0.8361    -0.4508    -0.3126     0.2669
		1920     0.8259    -0.4665    -0.3166     0.2617
		2080     0.8099    -0.4942    -0.3160     0.2580
		2240     0.7862    -0.5339    -0.3111     0.2574
		2400     0.7592    -0.5761    -0.3028     0.2597
		2560     0.7426    -0.6005    -0.2966     0.2637
		2720     0.7615    -0.5705    -0.3077     0.2668
		2880     0.7936    -0.5059    -0.3381     0.2610
		3040     0.7936    -0.5059    -0.3381     0.2610

#OBJECT 6
	*NodeName swat:Head
	*ANIMATION 0 20 0
		0    -0.6757     0.3454    -0.6512     0.6517
		160    -0.7263     0.3259    -0.6052     0.6850
		320    -0.7041     0.3803    -0.5997     0.6848
		480    -0.6405     0.4565    -0.6175     0.6843
		640    -0.5888     0.4915    -0.6416     0.6949
		800    -0.5389     0.5185    -0.6639     0.7098
		960    -0.4770     0.5588    -0.6784     0.7304
		1120    -0.4169     0.5978    -0.6847     0.7533
		1280    -0.3709     0.6248    -0.6871     0.7694
		1440    -0.3432     0.6403    -0.6872     0.7791
		1600    -0.3302     0.6483    -0.6861     0.7868
		1760    -0.3231     0.6534    -0.6846     0.7944
		1920    -0.3175     0.6582    -0.6827     0.8029
		2080    -0.3123     0.6632    -0.6802     0.8158
		2240    -0.3069     0.6684    -0.6775     0.8363
		2400    -0.3056     0.6721    -0.6744     0.8615
		2560    -0.3160     0.6686    -0.6731     0.8821
		2720    -0.3222     0.6573    -0.6813     0.8812
		2880    -0.2935     0.6575    -0.6940     0.8627
		3040    -0.2935     0.6575    -0.6940     0.8627

#OBJECT 7
	*NodeName swat:HeadTop_End
	*ANIMATION 0 0 0

#OBJECT 8
	*NodeName swat:LeftShoulder
	*ANIMATION 0 20 0
		0     0.0155    -0.0972    -0.9951     0.0613
		160     0.0158    -0.0972    -0.9951     0.0613
		320     0.0161    -0.0972    -0.9951     0.0613
		480     0.0164    -0.0972    -0.9951     0.0613
		640     0.0166    -0.0972    -0.9951     0.0613
		800     0.0168    -0.0972    -0.9951     0.0613
