#PSB_CHARACTER_TOOL_ANIMATION_DATA
#SCENE 0 100 30 160 39

#OBJECT 0
	*NodeName swat:Hips
	*ANIMATION 0 100 100
		0    -0.8626     0.3860     0.3271     1.4801
		160    -0.8626     0.3860     0.3271     1.4801
		320    -0.8626     0.3859     0.3271     1.4801
		480    -0.8626     0.3859     0.3270     1.4800
		640    -0.8627     0.3858     0.3270     1.4799
		800    -0.8627     0.3857     0.3270     1.4798
		960    -0.8628     0.3856     0.3270     1.4797
		1120    -0.8628     0.3855     0.3270     1.4795
		1280    -0.8629     0.3854     0.3270     1.4794
		1440    -0.8629     0.3853     0.3270     1.4793
		1600    -0.8629     0.3852     0.3271     1.4791
		1760    -0.8629     0.3852     0.3272     1.4791
		1920    -0.8629     0.3852     0.3273     1.4790
		2080    -0.8629     0.3851     0.3274     1.4789
		2240    -0.8628     0.3851     0.3275     1.4789
		2400    -0.8628     0.3851     0.3276     1.4789
		2560    -0.8627     0.3851     0.3277     1.4789
		2720    -0.8627     0.3850     0.3278     1.4788
		2880    -0.8627     0.3850     0.3279     1.4788
		3040    -0.8627     0.3849     0.3280     1.4787
		3200    -0.8627     0.3849     0.3281     1.4787
		3360    -0.8627     0.3848     0.3281     1.4786
		3520    -0.8627     0.3848     0.3282     1.4786
		3680    -0.8626     0.3848     0.3284     1.4786
		3840    -0.8626     0.3848     0.3285     1.4787
		4000    -0.8626     0.3847     0.3285     1.4787
		4160    -0.8626     0.3846     0.3286     1.4786
		4320    -0.8627     0.3845     0.3286     1.4786
		4480    -0.8627     0.3843     0.3287     1.4786
		4640    -0.8628     0.3841     0.3286     1.4785
		4800    -0.8629     0.3839     0.3286     1.4784
		4960    -0.8629     0.3839     0.3287     1.4784
		5120    -0.8629     0.3838     0.3288     1.4785
		5280    -0.8629     0.3838     0.3289     1.4785
		5440    -0.8628     0.3838     0.3291     1.4786
		5600    -0.8627     0.3838     0.3292     1.4787
		5760    -0.8627     0.3838     0.3293     1.4788
		5920    -0.8626     0.3838     0.3295     1.4789
		6080    -0.8626     0.3837     0.3295     1.4789
		6240    -0.8627     0.3837     0.3296     1.4790
		6400    -0.8627     0.3836     0.3296     1.4791
		6560    -0.8628     0.3835     0.3295     1.4792
		6720    -0.8628     0.3834     0.3295     1.4793
		6880    -0.8629     0.3833     0.3294     1.4795
		7040    -0.8629     0.3833     0.3293     1.4797
		7200    -0.8629     0.3833     0.3293     1.4800
		7360    -0.8629     0.3834     0.3293     1.4803
		7520    -0.8629     0.3834     0.3292     1.4806
		7680    -0.8629     0.3835     0.3291     1.4809
		7840    -0.8628     0.3837     0.3291     1.4812
		8000    -0.8628     0.3838     0.3290     1.4815
		8160    -0.8628     0.3839     0.3289     1.4818
		8320    -0.8628     0.3840     0.3288     1.4820
		8480    -0.8628     0.3841     0.3287     1.4822
		8640    -0.8629     0.3841     0.3285     1.4823
		8800    -0.8629     0.3842     0.3284     1.4824
		8960    -0.8629     0.3843     0.3282     1.4824
		9120    -0.8629     0.3844     0.3281     1.4825
		9280    -0.8629     0.3844     0.3279     1.4825
		9440    -0.8630     0.3845     0.3278     1.4826
