#PSB_CHARACTER_TOOL_ANIMATION_DATA
#SCENE 0 100 30 160 38

#OBJECT 0
	*NodeName swat:Hips
	*ANIMATION 0 100 100
		0    -0.8626     0.3861     0.3270     1.4802
		160    -0.8626     0.3857     0.3272     1.4803
		320    -0.8629     0.3850     0.3274     1.4802
		480    -0.8632     0.3838     0.3279     1.4800
		640    -0.8639     0.3817     0.3286     1.4795
		800    -0.8659     0.3777     0.3280     1.4777
		960    -0.8704     0.3702     0.3247     1.4733
		1120    -0.8775     0.3590     0.3181     1.4658
		1280    -0.8852     0.3466     0.3105     1.4571
		1440    -0.8903     0.3371     0.3060     1.4508
		1600    -0.8913     0.3333     0.3075     1.4495
		1760    -0.8893     0.3331     0.3134     1.4521
		1920    -0.8880     0.3315     0.3188     1.4540
		2080    -0.8901     0.3251     0.3194     1.4508
		2240    -0.8953     0.3148     0.3152     1.4424
		2400    -0.9006     0.3052     0.3096     1.4333
		2560    -0.9032     0.2999     0.3069     1.4281
		2720    -0.9029     0.2995     0.3084     1.4274
		2880    -0.9012     0.3008     0.3120     1.4281
		3040    -0.9001     0.3010     0.3149     1.4262
		3200    -0.8988     0.3015     0.3183     1.4227
		3360    -0.8972     0.3021     0.3221     1.4188
		3520    -0.8955     0.3028     0.3262     1.4144
		3680    -0.8937     0.3036     0.3305     1.4097
		3840    -0.8918     0.3043     0.3347     1.4047
		4000    -0.8901     0.3051     0.3387     1.3993
		4160    -0.8884     0.3058     0.3423     1.3937
		4320    -0.8870     0.3064     0.3454     1.3877
		4480    -0.8859     0.3069     0.3477     1.3815
		4640    -0.8852     0.3073     0.3492     1.3750
		4800    -0.8850     0.3075     0.3495     1.3683
		4960    -0.8854     0.3075     0.3485     1.3613
		5120    -0.8875     0.3069     0.3436     1.3533
		5280    -0.8923     0.3017     0.3357     1.3417
		5440    -0.8970     0.2936     0.3306     1.3297
		5600    -0.8999     0.2856     0.3296     1.3209
		5760    -0.9004     0.2808     0.3323     1.3173
		5920    -0.8988     0.2801     0.3372     1.3180
		6080    -0.8961     0.2824     0.3424     1.3199
		6240    -0.8938     0.2856     0.3458     1.3214
		6400    -0.8921     0.2889     0.3473     1.3249
		6560    -0.8905     0.2930     0.3482     1.3331
		6720    -0.8880     0.2980     0.3503     1.3448
		6880    -0.8849     0.3036     0.3533     1.3567
		7040    -0.8827     0.3079     0.3550     1.3658
		7200    -0.8826     0.3096     0.3539     1.3708
		7360    -0.8839     0.3090     0.3509     1.3729
		7520    -0.8853     0.3077     0.3486     1.3737
		7680    -0.8864     0.3059     0.3476     1.3716
		7840    -0.8883     0.3021     0.3459     1.3634
		8000    -0.8927     0.2950     0.3406     1.3479
		8160    -0.9006     0.2832     0.3298     1.3268
		8320    -0.9116     0.2659     0.3135     1.3027
		8480    -0.9248     0.2430     0.2926     1.2771
		8640    -0.9388     0.2151     0.2689     1.2512
		8800    -0.9519     0.1844     0.2445     1.2271
		8960    -0.9627     0.1539     0.2224     1.2076
		9120    -0.9704     0.1273     0.2051     1.1942
		9280    -0.9753     0.1068     0.1932     1.1875
		9440    -0.9785     0.0918     0.1846     1.1864
		9600    -0.9814     0.0782     0.1751     1.1884
		9760    -0.9846     0.0632     0.1628     1.1911
		9920    -0.9870     0.0522     0.1520     1.1942
		10080    -0.9865     0.0593     0.1524     1.2003
		10240    -0.9813     0.0914     0.1694     1.2121
		10400    -0.9707     0.1379     0.1969     1.2293
		10560    -0.9567     0.1839     0.2257     1.2505
		10720    -0.9415     0.2246     0.2513     1.2755
		10880    -0.9254     0.2622     0.2736     1.3055
		11040    -0.9097     0.2950     0.2922     1.3359
		11200    -0.8945     0.3239     0.3082     1.3656
		11360    -0.8798     0.3495     0.3221     1.3947
		11520    -0.8649     0.3737     0.3350     1.4246
		11680    -0.8509     0.3951     0.3462     1.4532
		11840    -0.8391     0.4123     0.3548     1.4782
		12000    -0.8328     0.4218     0.3586     1.4933
		12160    -0.8301     0.4264     0.3594     1.5017
		12320    -0.8290     0.4288     0.3589     1.5070
		12480    -0.8285     0.4306     0.3580     1.5115
		12640    -0.8286     0.4316     0.3565     1.5148
		12800    -0.8301     0.4310     0.3538     1.5162
		12960    -0.8313     0.4304     0.3517     1.5168
		13120    -0.8333     0.4289     0.3488     1.5156
		13280    -0.8367     0.4254     0.3448     1.5121
		13440    -0.8412     0.4198     0.3408     1.5071
		13600    -0.8457     0.4133     0.3378     1.5020
		13760    -0.8492     0.4073     0.3360     1.4980
		13920    -0.8516     0.4029     0.3353     1.4954
		14080    -0.8530     0.4002     0.3351     1.4939
		14240    -0.8535     0.3990     0.3352     1.4933
		14400    -0.8537     0.3985     0.3352     1.4930
		14560    -0.8542     0.3980     0.3345     1.4921
		14720    -0.8554     0.3969     0.3330     1.4901
		14880    -0.8572     0.3948     0.3308     1.4875
		15040    -0.8591     0.3924     0.3286     1.4851
		15200    -0.8606     0.3903     0.3271     1.4836
		15360    -0.8615     0.3889     0.3264     1.4828
		15520    -0.8620     0.3878     0.3264     1.4819
		15680    -0.8623     0.3868     0.3267     1.4810
		15840    -0.8626     0.3861     0.3270     1.4802
		0     0.0017    36.6111     0.0041
		160    -0.0136    36.6111    -0.0023
		320    -0.0271    36.6111    -0.0110
		480    -0.0357    36.6111    -0.0255
		640    -0.0356    36.6111    -0.0450
		800    -0.0239    36.6111    -0.0608
		960    -0.0013    36.6041    -0.0608
		1120     0.0278    36.5896    -0.0441
		1280     0.0565    36.5739    -0.0331
		1440     0.0789    36.5697    -0.0637
		1600     0.0925    36.5804    -0.1610
		1760     0.1004    36.5879    -0.3177
		1920     0.1122    36.5833    -0.4806
		2080     0.1283    36.5707    -0.5984
		2240     0.1381    36.5559    -0.6595
		2400     0.1333    36.5483    -0.6840
		2560     0.1156    36.5500    -0.7032
		2720     0.0904    36.5580    -0.7349
		2880     0.0629    36.5630    -0.7726
		3040     0.0162    36.5621    -0.8039
		3200    -0.0620    36.5514    -0.8335
		3360    -0.1535    36.5365    -0.8620
		3520    -0.2557    36.5183    -0.8897
