#PSB_CHARACTER_TOOL_ANIMATION_DATA
#SCENE 0 23 30 160 38

#OBJECT 0
	*NodeName swat:Hips
	*ANIMATION 0 23 0
		0    -0.9872     0.1221     0.1026     1.7503
		160    -0.9885     0.1073     0.1070     1.7531
		320    -0.9906     0.0882     0.1046     1.7558
		480    -0.9931     0.0673     0.0960     1.7570
		640    -0.9941     0.0619     0.0885     1.7477
		800    -0.9937     0.0705     0.0870     1.7283
		960    -0.9947     0.0674     0.0774     1.7139
		1120    -0.9974     0.0428     0.0575     1.6942
		1280    -0.9980     0.0215     0.0587     1.6703
		1440    -0.9965     0.0301     0.0785     1.6608
		1600    -0.9954     0.0426     0.0861     1.6697
		1760    -0.9964     0.0489     0.0698     1.6753
		1920    -0.9974     0.0552     0.0460     1.6926
		2080    -0.9974     0.0650     0.0310     1.7215
		2240    -0.9965     0.0784     0.0296     1.7478
		2400    -0.9955     0.0853     0.0413     1.7657
		2560    -0.9949     0.0817     0.0584     1.7727
		2720    -0.9944     0.0775     0.0712     1.7751
		2880    -0.9940     0.0784     0.0767     1.7741
		3040    -0.9924     0.0937     0.0794     1.7691
		3200    -0.9884     0.1220     0.0903     1.7534
		3360    -0.9854     0.1352     0.1037     1.7389
		3520    -0.9862     0.1277     0.1055     1.7430

#OBJECT 1
	*NodeName swat:Spine
	*ANIMATION 0 23 0
		0    -0.9143    -0.2122     0.3449     0.1703
		160    -0.9196    -0.0981     0.3804     0.1641
		320    -0.9019    -0.0010     0.4320     0.1633
		480    -0.8691     0.0616     0.4909     0.1608
		640    -0.8639     0.0444     0.5017     0.1547
		800    -0.8777     0.0347     0.4779     0.1537
		960    -0.8308     0.0822     0.5505     0.1586
		1120    -0.7601     0.1419     0.6341     0.1830
		1280    -0.7863     0.2287     0.5739     0.2097
		1440    -0.8322     0.2705     0.4841     0.2052
		1600    -0.8394     0.2348     0.4901     0.1927
		1760    -0.8289     0.1000     0.5503     0.1968
		1920    -0.7800    -0.0548     0.6233     0.2040
		2080    -0.7426    -0.1921     0.6416     0.2077
		2240    -0.7432    -0.2982     0.5989     0.2077
		2400    -0.7351    -0.3282     0.5933     0.2018
		2560    -0.7129    -0.3047     0.6316     0.1888
		2720    -0.7059    -0.3008     0.6413     0.1781
		2880    -0.7297    -0.3225     0.6030     0.1698
		3040    -0.7961    -0.3565     0.4891     0.1691
		3200    -0.8655    -0.3179     0.3870     0.1888
		3360    -0.8983    -0.2351     0.3712     0.1974
		3520    -0.9096    -0.2033     0.3624     0.1811

#OBJECT 2
	*NodeName swat:Spine1
	*ANIMATION 0 23 0
		0    -0.9590     0.0304     0.2818     0.0613
		160    -0.9464     0.0874     0.3111     0.0587
		320    -0.9339     0.1029     0.3423     0.0596
		480    -0.9257     0.0737     0.3710     0.0599
