#PSB_CHARACTER_TOOL_ANIMATION_DATA
#SCENE 0 100 30 160 38

#OBJECT 0
	*NodeName swat:Hips
	*ANIMATION 0 100 100
		0    -0.8626     0.3861     0.3270     1.4802
		160    -0.8634     0.3844     0.3268     1.4846
		320    -0.8647     0.3818     0.3264     1.4888
		480    -0.8666     0.3783     0.3256     1.4935
		640    -0.8683     0.3751     0.3247     1.4993
		800    -0.8688     0.3738     0.3247     1.5054
		960    -0.8674     0.3751     0.3270     1.5117
		1120    -0.8645     0.3780     0.3314     1.5185
		1280    -0.8622     0.3802     0.3349     1.5251
		1440    -0.8631     0.3795     0.3332     1.5296
		1600    -0.8684     0.3747     0.3247     1.5318
		1760    -0.8769     0.3662     0.3113     1.5337
		1920    -0.8857     0.3567     0.2972     1.5366
		2080    -0.8916     0.3507     0.2863     1.5398
		2240    -0.8939     0.3505     0.2797     1.5417
		2400    -0.8939     0.3539     0.2750     1.5436
		2560    -0.8946     0.3565     0.2696     1.5521
		2720    -0.8970     0.3551     0.2635     1.5696
		2880    -0.9003     0.3509     0.2576     1.5891
		3040    -0.9029     0.3473     0.2532     1.6017
		3200    -0.9034     0.3469     0.2519     1.6055
		3360    -0.9021     0.3491     0.2536     1.6051
		3520    -0.9003     0.3512     0.2572     1.6055
		3680    -0.8974     0.3539     0.2635     1.6082
		3840    -0.8916     0.3598     0.2748     1.6129
		4000    -0.8824     0.3700     0.2905     1.6203
		4160    -0.8708     0.3831     0.3080     1.6313
		4320    -0.8580     0.3975     0.3254     1.6452
		4480    -0.8435     0.4134     0.3430     1.6606
		4640    -0.8262     0.4321     0.3616     1.6779
		4800    -0.8067     0.4520     0.3807     1.6993
		4960    -0.7875     0.4697     0.3990     1.7248
		5120    -0.7699     0.4833     0.4168     1.7498
		5280    -0.7526     0.4931     0.4363     1.7701
		5440    -0.7344     0.4997     0.4593     1.7873
		5600    -0.7160     0.5020     0.4851     1.8052
		5760    -0.6993     0.5010     0.5099     1.8230
		5920    -0.6859     0.4990     0.5297     1.8362
		6080    -0.6772     0.4963     0.5433     1.8407
		6240    -0.6748     0.4905     0.5514     1.8350
		6400    -0.6783     0.4804     0.5560     1.8197
		6560    -0.6833     0.4688     0.5598     1.7998
		6720    -0.6827     0.4611     0.5668     1.7850
		6880    -0.6701     0.4619     0.5810     1.7837
		7040    -0.6450     0.4721     0.6009     1.7982
		7200    -0.6144     0.4857     0.6218     1.8195
		7360    -0.5922     0.4982     0.6334     1.8353
		7520    -0.5883     0.5072     0.6298     1.8297
		7680    -0.6035     0.5138     0.6098     1.7949
		7840    -0.6325     0.5182     0.5757     1.7356
		8000    -0.6670     0.5164     0.5371     1.6603
		8160    -0.7006     0.5103     0.4987     1.5847
		8320    -0.7269     0.5044     0.4661     1.5246
		8480    -0.7443     0.4999     0.4428     1.4874
		8640    -0.7593     0.4919     0.4260     1.4661
		8800    -0.7785     0.4776     0.4073     1.4492
		8960    -0.8024     0.4594     0.3809     1.4381
		9120    -0.8269     0.4399     0.3503     1.4427
		9280    -0.8470     0.4220     0.3233     1.4650
		9440    -0.8590     0.4107     0.3058     1.4956
		9600    -0.8617     0.4088     0.3006     1.5248
		9760    -0.8574     0.4139     0.3061     1.5506
		9920    -0.8495     0.4204     0.3189     1.5739
		10080    -0.8418     0.4252     0.3324     1.5922
		10240    -0.8360     0.4280     0.3436     1.6037
		10400    -0.8307     0.4310     0.3525     1.6138
		10560    -0.8211     0.4381     0.3659     1.6294
		10720    -0.8042     0.4526     0.3851     1.6529
