#PSB_CHARACTER_TOOL_ANIMATION_DATA
#SCENE 0 42 30 160 38

#OBJECT 0
	*NodeName swat:Hips
	*ANIMATION 0 42 0
		0    -0.9249     0.2537     0.2830     1.4289
		160    -0.9280     0.2491     0.2772     1.4346
		320    -0.9311     0.2440     0.2710     1.4403
		480    -0.9344     0.2393     0.2640     1.4453
		640    -0.9381     0.2339     0.2555     1.4498
		800    -0.9431     0.2253     0.2447     1.4534
		960    -0.9492     0.2124     0.2320     1.4541
		1120    -0.9553     0.1976     0.2199     1.4498
		1280    -0.9595     0.1837     0.2135     1.4399
		1440    -0.9613     0.1713     0.2159     1.4245
		1600    -0.9611     0.1613     0.2243     1.4042
		1760    -0.9599     0.1567     0.2323     1.3814
		1920    -0.9582     0.1585     0.2381     1.3590
		2080    -0.9558     0.1642     0.2439     1.3398
		2240    -0.9526     0.1716     0.2512     1.3263
		2400    -0.9485     0.1808     0.2602     1.3212
		2560    -0.9435     0.1919     0.2700     1.3242
		2720    -0.9380     0.2044     0.2800     1.3327
		2880    -0.9317     0.2182     0.2904     1.3446
		3040    -0.9243     0.2336     0.3019     1.3580
		3200    -0.9156     0.2519     0.3136     1.3713
		3360    -0.9065     0.2727     0.3225     1.3832
		3520    -0.8981     0.2942     0.3270     1.3930
		3680    -0.8908     0.3144     0.3281     1.4007
		3840    -0.8841     0.3328     0.3280     1.4072
		4000    -0.8775     0.3503     0.3275     1.4143
		4160    -0.8710     0.3663     0.3275     1.4240
		4320    -0.8652     0.3787     0.3288     1.4378
		4480    -0.8615     0.3853     0.3306     1.4540
		4640    -0.8608     0.3874     0.3299     1.4686
		4800    -0.8624     0.3895     0.3235     1.4788
		4960    -0.8648     0.3945     0.3107     1.4851
		5120    -0.8682     0.3981     0.2963     1.4887
		5280    -0.8739     0.3921     0.2872     1.4886
		5440    -0.8825     0.3744     0.2848     1.4820
		5600    -0.8917     0.3527     0.2837     1.4679
		5760    -0.8992     0.3357     0.2804     1.4511
		5920    -0.9040     0.3249     0.2779     1.4385
		6080    -0.9069     0.3158     0.2791     1.4319
		6240    -0.9099     0.3040     0.2824     1.4286
		6400    -0.9142     0.2884     0.2846     1.4264
		6560    -0.9196     0.2707     0.2847     1.4259

#OBJECT 1
	*NodeName swat:Spine
	*ANIMATION 0 42 0
		0    -0.7458     0.2464     0.6190     0.1407
		160    -0.6561     0.2232     0.7209     0.1377
		320    -0.5371     0.2043     0.8184     0.1391
		480    -0.4108     0.1869     0.8923     0.1449
		640    -0.2871     0.1655     0.9435     0.1549
		800    -0.1705     0.1442     0.9748     0.1699
		960    -0.0769     0.1421     0.9869     0.1887
		1120    -0.0248     0.1757     0.9841     0.2067
		1280    -0.0237     0.2491     0.9682     0.2206
		1440    -0.0708     0.3482     0.9347     0.2321
		1600    -0.1545     0.4352     0.8870     0.2424
		1760    -0.2604     0.4775     0.8391     0.2501
		1920    -0.3715     0.4795     0.7950     0.2565
		2080    -0.4693     0.4666     0.7496     0.2651
		2240    -0.5458     0.4519     0.7056     0.2732
		2400    -0.6040     0.4331     0.6691     0.2748
		2560    -0.6486     0.4089     0.6420     0.2679
		2720    -0.6832     0.3838     0.6212     0.2550
