#PSB_CHARACTER_TOOL_ANIMATION_DATA
#SCENE 0 31 30 160 38

#OBJECT 0
	*NodeName swat:Hips
	*ANIMATION 0 31 0
		0    -0.7887     0.4552     0.4132     1.6059
		160    -0.7899     0.4521     0.4144     1.6033
		320    -0.7915     0.4488     0.4148     1.5983
		480    -0.7965     0.4439     0.4105     1.5882
		640    -0.8051     0.4373     0.4008     1.5729
		800    -0.8128     0.4197     0.4039     1.5734
		960    -0.8122     0.4018     0.4229     1.5844
		1120    -0.8057     0.3933     0.4428     1.5919
		1280    -0.7970     0.3925     0.4590     1.6087
		1440    -0.7817     0.4115     0.4686     1.6176
		1600    -0.7695     0.4371     0.4657     1.6242
		1760    -0.7639     0.4535     0.4592     1.6382
		1920    -0.7613     0.4598     0.4572     1.6520
		2080    -0.7592     0.4661     0.4544     1.6586
		2240    -0.7586     0.4699     0.4514     1.6610
		2400    -0.7563     0.4746     0.4503     1.6599
		2560    -0.7516     0.4812     0.4511     1.6523
		2720    -0.7467     0.4901     0.4497     1.6402
		2880    -0.7388     0.5014     0.4504     1.6340
		3040    -0.7242     0.5143     0.4594     1.6429
		3200    -0.7109     0.5235     0.4697     1.6617
		3360    -0.7103     0.5246     0.4694     1.6849
		3520    -0.7187     0.5268     0.4538     1.6977
		3680    -0.7269     0.5312     0.4353     1.7029
		3840    -0.7430     0.5183     0.4235     1.6751
		4000    -0.7651     0.5037     0.4013     1.6219
		4160    -0.7768     0.4962     0.3877     1.5908
		4320    -0.7794     0.4865     0.3948     1.5836
		4480    -0.7787     0.4784     0.4059     1.5866
		4640    -0.7793     0.4705     0.4139     1.5957
		4800    -0.7818     0.4641     0.4165     1.6029

#OBJECT 1
	*NodeName swat:Spine
	*ANIMATION 0 31 0
		0    -0.9020    -0.0659    -0.4266     0.4158
		160    -0.9024    -0.0370    -0.4293     0.3971
		320    -0.9032     0.0026    -0.4292     0.3748
		480    -0.9030     0.0501    -0.4267     0.3514
		640    -0.9006     0.1013    -0.4227     0.3292
		800    -0.8954     0.1502    -0.4192     0.3103
		960    -0.8883     0.1874    -0.4193     0.2965
		1120    -0.8812     0.2025    -0.4271     0.2894
		1280    -0.8752     0.1890    -0.4452     0.2911
		1440    -0.8760     0.0615    -0.4783     0.3254
		1600    -0.8723    -0.0718    -0.4837     0.3622
		1760    -0.8534    -0.1407    -0.5020     0.3794
		1920    -0.8436    -0.1436    -0.5175     0.3796
		2080    -0.8384    -0.1329    -0.5286     0.3806
		2240    -0.8358    -0.1204    -0.5357     0.3794
		2400    -0.8291    -0.1051    -0.5492     0.3794
		2560    -0.8216    -0.0871    -0.5634     0.3794
		2720    -0.8197    -0.0749    -0.5679     0.3768
		2880    -0.8053    -0.0741    -0.5883     0.3765
		3040    -0.7831    -0.0681    -0.6181     0.3775
		3200    -0.7644    -0.0600    -0.6419     0.3835
		3360    -0.7528    -0.1086    -0.6492     0.3889
		3520    -0.7523    -0.1735    -0.6355     0.4005
		3680    -0.7603    -0.2380    -0.6044     0.4160
		3840    -0.8143    -0.2309    -0.5325     0.4300
		4000    -0.8698    -0.2311    -0.4359     0.4635
		4160    -0.8917    -0.2305    -0.3896     0.4891
		4320    -0.9002    -0.2027    -0.3853     0.4863
		4480    -0.9024    -0.1634    -0.3988     0.4759
		4640    -0.9006    -0.1264    -0.4158     0.4590
		4800    -0.9012    -0.0958    -0.4226     0.4404

#OBJECT 2
	*NodeName swat:Spine1
	*ANIMATION 0 31 0
		0    -0.2149     0.9757    -0.0430     0.1341
