#PSB_CHARACTER_TOOL_ANIMATION_DATA
#SCENE 0 43 30 160 38

#OBJECT 0
	*NodeName swat:Hips
	*ANIMATION 0 43 0
		0    -0.7510     0.4943     0.4377     1.6256
		160    -0.7511     0.4931     0.4390     1.6300
		320    -0.7511     0.4929     0.4392     1.6352
		480    -0.7501     0.4940     0.4396     1.6426
		640    -0.7479     0.4955     0.4418     1.6515
		800    -0.7450     0.4975     0.4444     1.6607
		960    -0.7420     0.5001     0.4466     1.6707
		1120    -0.7392     0.5026     0.4484     1.6811
		1280    -0.7356     0.5059     0.4505     1.6920
		1440    -0.7297     0.5110     0.4543     1.7026
		1600    -0.7216     0.5174     0.4600     1.7106
		1760    -0.7127     0.5233     0.4671     1.7172
		1920    -0.7059     0.5268     0.4735     1.7212
		2080    -0.7029     0.5274     0.4772     1.7123
		2240    -0.7027     0.5260     0.4792     1.6930
		2400    -0.7010     0.5258     0.4818     1.6769
		2560    -0.6952     0.5274     0.4884     1.6690
		2720    -0.6901     0.5293     0.4935     1.6700
		2880    -0.6882     0.5316     0.4938     1.6754
		3040    -0.6893     0.5334     0.4902     1.6819
		3200    -0.6914     0.5344     0.4862     1.6883
		3360    -0.6929     0.5345     0.4840     1.6923
		3520    -0.6944     0.5333     0.4830     1.6942
		3680    -0.6952     0.5311     0.4844     1.6981
		3840    -0.6945     0.5284     0.4884     1.7053
		4000    -0.6941     0.5244     0.4932     1.7123
		4160    -0.6946     0.5200     0.4971     1.7147
		4320    -0.6962     0.5153     0.4997     1.7136
		4480    -0.6996     0.5093     0.5011     1.7097
		4640    -0.7054     0.5017     0.5007     1.7018
		4800    -0.7135     0.4930     0.4979     1.6901
		4960    -0.7235     0.4827     0.4935     1.6761
		5120    -0.7336     0.4740     0.4870     1.6595
		5280    -0.7398     0.4747     0.4769     1.6447
		5440    -0.7415     0.4847     0.4640     1.6369
		5600    -0.7446     0.4919     0.4513     1.6314
		5760    -0.7507     0.4958     0.4366     1.6267
		5920    -0.7576     0.4986     0.4211     1.6207
		6080    -0.7647     0.4940     0.4137     1.6146
		6240    -0.7669     0.4895     0.4150     1.6135
		6400    -0.7623     0.4916     0.4210     1.6147
		6560    -0.7556     0.4952     0.4288     1.6167
		6720    -0.7518     0.4957     0.4349     1.6210

#OBJECT 1
	*NodeName swat:Spine
	*ANIMATION 0 43 0
		0    -0.9027    -0.0785    -0.4231     0.4177
		160    -0.9006    -0.0817    -0.4270     0.4190
		320    -0.8968    -0.0922    -0.4327     0.4202
		480    -0.8901    -0.1064    -0.4432     0.4198
		640    -0.8809    -0.1168    -0.4587     0.4161
		800    -0.8687    -0.1243    -0.4795     0.4111
		960    -0.8525    -0.1348    -0.5050     0.4047
		1120    -0.8345    -0.1494    -0.5303     0.3968
		1280    -0.8151    -0.1623    -0.5561     0.3915
		1440    -0.7965    -0.1636    -0.5821     0.3923
		1600    -0.7827    -0.1534    -0.6032     0.3958
		1760    -0.7689    -0.1355    -0.6248     0.3951
		1920    -0.7573    -0.1127    -0.6433     0.3892
		2080    -0.7669    -0.0771    -0.6371     0.3866
		2240    -0.7822    -0.0391    -0.6218     0.3897
		2400    -0.7978    -0.0034    -0.6029     0.3954
		2560    -0.8115     0.0234    -0.5839     0.4021
		2720    -0.8224     0.0354    -0.5678     0.4076
		2880    -0.8311     0.0265    -0.5554     0.4111
		3040    -0.8387     0.0013    -0.5446     0.4138
		3200    -0.8449    -0.0280    -0.5342     0.4167
		3360    -0.8506    -0.0496    -0.5235     0.4205
		3520    -0.8555    -0.0552    -0.5148     0.4247
		3680    -0.8569    -0.0566    -0.5124     0.4251
		3840    -0.8523    -0.0542    -0.5202     0.4210
		4000    -0.8447    -0.0492    -0.5330     0.4135
		4160    -0.8379    -0.0406    -0.5444     0.4058
		4320    -0.8300    -0.0264    -0.5571     0.3978
		4480    -0.8237    -0.0096    -0.5670     0.3870
		4640    -0.8238     0.0084    -0.5668     0.3735
		4800    -0.8313     0.0311    -0.5549     0.3595
		4960    -0.8433     0.0612    -0.5340     0.3453
		5120    -0.8554     0.0939    -0.5093     0.3356
		5280    -0.8682     0.0836    -0.4892     0.3390
		5440    -0.8810     0.0222    -0.4726     0.3508
		5600    -0.8916    -0.0133    -0.4527     0.3547
		5760    -0.9008    -0.0367    -0.4326     0.3565
