#PSB_CHARACTER_TOOL_ANIMATION_DATA
#SCENE 0 42 30 160 38

#OBJECT 0
	*NodeName swat:Hips
	*ANIMATION 0 42 0
		0    -0.9092     0.2864     0.3022     1.4767
		160    -0.9071     0.2867     0.3080     1.4705
		320    -0.9054     0.2871     0.3129     1.4655
		480    -0.9039     0.2881     0.3162     1.4621
		640    -0.9019     0.2903     0.3199     1.4604
		800    -0.8982     0.2961     0.3248     1.4592
		960    -0.8932     0.3061     0.3293     1.4581
		1120    -0.8882     0.3154     0.3341     1.4564
		1280    -0.8836     0.3211     0.3408     1.4548
		1440    -0.8790     0.3263     0.3476     1.4551
		1600    -0.8738     0.3327     0.3546     1.4608
		1760    -0.8679     0.3383     0.3637     1.4705
		1920    -0.8627     0.3424     0.3722     1.4740
		2080    -0.8589     0.3455     0.3780     1.4681
		2240    -0.8581     0.3422     0.3827     1.4609
		2400    -0.8610     0.3329     0.3844     1.4524
		2560    -0.8654     0.3210     0.3848     1.4435
		2720    -0.8708     0.3073     0.3839     1.4349
		2880    -0.8767     0.2928     0.3817     1.4271
		3040    -0.8827     0.2786     0.3784     1.4206
		3200    -0.8892     0.2653     0.3727     1.4171
		3360    -0.8956     0.2539     0.3652     1.4128
		3520    -0.9024     0.2433     0.3557     1.4087
		3680    -0.9086     0.2331     0.3465     1.4103
		3840    -0.9129     0.2261     0.3398     1.4174
		4000    -0.9152     0.2233     0.3356     1.4287
		4160    -0.9162     0.2217     0.3337     1.4443
		4320    -0.9180     0.2176     0.3316     1.4630
		4480    -0.9214     0.2099     0.3272     1.4832
		4640    -0.9259     0.2030     0.3186     1.5009
		4800    -0.9321     0.1986     0.3029     1.5114
		4960    -0.9409     0.1932     0.2782     1.5184
		5120    -0.9483     0.1916     0.2532     1.5258
		5280    -0.9482     0.2016     0.2454     1.5317
		5440    -0.9419     0.2189     0.2548     1.5325
		5600    -0.9351     0.2376     0.2629     1.5270
		5760    -0.9296     0.2571     0.2642     1.5186
		5920    -0.9242     0.2717     0.2683     1.5114
		6080    -0.9197     0.2768     0.2783     1.5040
		6240    -0.9161     0.2789     0.2882     1.4939
		6400    -0.9125     0.2824     0.2961     1.4840
		6560    -0.9092     0.2864     0.3022     1.4767

#OBJECT 1
	*NodeName swat:Spine
	*ANIMATION 0 42 0
		0    -0.8834    -0.3174     0.3447     0.2636
		160    -0.9016    -0.2702     0.3379     0.2614
		320    -0.9125    -0.2323     0.3368     0.2604
		480    -0.9188    -0.2034     0.3383     0.2582
		640    -0.9245    -0.1786     0.3368     0.2546
		800    -0.9342    -0.1553     0.3211     0.2514
		960    -0.9479    -0.1406     0.2858     0.2502
		1120    -0.9616    -0.1220     0.2459     0.2509
		1280    -0.9724    -0.0940     0.2137     0.2516
		1440    -0.9808    -0.0798     0.1779     0.2528
		1600    -0.9885    -0.0776     0.1301     0.2508
		1760    -0.9938    -0.0698     0.0865     0.2465
		1920    -0.9961    -0.0573     0.0666     0.2486
		2080    -0.9972    -0.0460     0.0591     0.2594
		2240    -0.9972    -0.0229     0.0705     0.2666
		2400    -0.9941     0.0042     0.1087     0.2718
		2560    -0.9871     0.0325     0.1566     0.2767
		2720    -0.9761     0.0588     0.2094     0.2816
		2880    -0.9615     0.0798     0.2628     0.2865
		3040    -0.9452     0.0931     0.3128     0.2910
		3200    -0.9288     0.0902     0.3593     0.2933
		3360    -0.9144     0.0766     0.3976     0.2973
		3520    -0.8987     0.0560     0.4350     0.3011
		3680    -0.8806     0.0330     0.4727     0.2987
		3840    -0.8646     0.0075     0.5024     0.2909
		4000    -0.8521    -0.0220     0.5229     0.2810
		4160    -0.8351    -0.0488     0.5479     0.2683
		4320    -0.7976    -0.0666     0.5995     0.2504
		4480    -0.7388    -0.0813     0.6690     0.2304
		4640    -0.6762    -0.1058     0.7291     0.2165
		4800    -0.6115    -0.1580     0.7753     0.2167
		4960    -0.5275    -0.2380     0.8156     0.2287
		5120    -0.4516    -0.3260     0.8305     0.2423
		5280    -0.4413    -0.3903     0.8080     0.2445
		5440    -0.4989    -0.4148     0.7609     0.2374
		5600    -0.5765    -0.4334     0.6927     0.2365
		5760    -0.6435    -0.4672     0.6063     0.2453
		5920    -0.7031    -0.4750     0.5291     0.2518
		6080    -0.7595    -0.4402     0.4790     0.2525
		6240    -0.8119    -0.3910     0.4335     0.2543
		6400    -0.8540    -0.3484     0.3863     0.2591
		6560    -0.8834    -0.3174     0.3447     0.2636

#OBJECT 2
	*NodeName swat:Spine1
	*ANIMATION 0 42 0
		0    -0.6288    -0.2459     0.7377     0.0558
		160    -0.6308    -0.1671     0.7577     0.0558
		320    -0.6495    -0.0986     0.7540     0.0554
		480    -0.6637    -0.0335     0.7473     0.0554
		640    -0.6785     0.0319     0.7339     0.0554
		800    -0.7024     0.0857     0.7066     0.0553
		960    -0.7262     0.1068     0.6791     0.0553
		1120    -0.7429     0.1046     0.6612     0.0552
		1280    -0.7599     0.1098     0.6407     0.0555
		1440    -0.7792     0.1066     0.6176     0.0567
		1600    -0.7910     0.0836     0.6060     0.0571
		1760    -0.8052     0.0695     0.5889     0.0554
		1920    -0.8259     0.1099     0.5530     0.0546
		2080    -0.8336     0.1592     0.5289     0.0569
		2240    -0.8268     0.2042     0.5242     0.0601
		2400    -0.8154     0.2272     0.5325     0.0631
		2560    -0.8029     0.2411     0.5452     0.0659
		2720    -0.7900     0.2481     0.5606     0.0687
		2880    -0.7773     0.2499     0.5774     0.0713
		3040    -0.7650     0.2481     0.5944     0.0739
		3200    -0.7529     0.2381     0.6136     0.0762
		3360    -0.7432     0.2158     0.6333     0.0784
		3520    -0.7305     0.1951     0.6544     0.0810
		3680    -0.7121     0.1817     0.6781     0.0832
		3840    -0.6941     0.1728     0.6988     0.0844
		4000    -0.6759     0.1695     0.7172     0.0835
		4160    -0.6608     0.1662     0.7319     0.0805
		4320    -0.6547     0.1811     0.7339     0.0783
		4480    -0.6338     0.1759     0.7533     0.0771
		4640    -0.5777     0.1192     0.8075     0.0748
		4800    -0.5090     0.0406     0.8598     0.0730
		4960    -0.4361    -0.0433     0.8989     0.0737
		5120    -0.3913    -0.1163     0.9129     0.0762
		5280    -0.3962    -0.1461     0.9065     0.0752
		5440    -0.4334    -0.1295     0.8918     0.0697
		5600    -0.4831    -0.1063     0.8691     0.0651
		5760    -0.5324    -0.1220     0.8376     0.0632
		5920    -0.5615    -0.1662     0.8106     0.0616
		6080    -0.5709    -0.1753     0.8021     0.0581
		6240    -0.5815    -0.1830     0.7927     0.0554
		6400    -0.5958    -0.2423     0.7658     0.0538
		6560    -0.6288    -0.2459     0.7377     0.0558

#OBJECT 3
	*NodeName swat:Spine2
	*ANIMATION 0 42 0
		0    -0.6252    -0.2587     0.7363     0.0558
		160    -0.6246    -0.1811     0.7596     0.0558
		320    -0.6411    -0.1121     0.7592     0.0554
		480    -0.6536    -0.0460     0.7555     0.0554
		640    -0.6672     0.0213     0.7445     0.0553
		800    -0.6900     0.0777     0.7197     0.0552
		960    -0.7137     0.0988     0.6935     0.0551
		1120    -0.7311     0.0957     0.6756     0.0550
		1280    -0.7489     0.1009     0.6550     0.0553
		1440    -0.7687     0.0982     0.6320     0.0566
		1600    -0.7810     0.0747     0.6201     0.0569
		1760    -0.7962     0.0599     0.6021     0.0553
		1920    -0.8175     0.1009     0.5671     0.0545
		2080    -0.8247     0.1507     0.5451     0.0567
		2240    -0.8169     0.1967     0.5422     0.0599
		2400    -0.8048     0.2211     0.5507     0.0628
		2560    -0.7918     0.2366     0.5631     0.0657
		2720    -0.7785     0.2452     0.5778     0.0684
		2880    -0.7653     0.2486     0.5938     0.0711
		3040    -0.7527     0.2481     0.6099     0.0736
		3200    -0.7403     0.2395     0.6282     0.0759
		3360    -0.7310     0.2178     0.6467     0.0782
		3520    -0.7186     0.1972     0.6669     0.0808
		3680    -0.7005     0.1843     0.6895     0.0830
		3840    -0.6825     0.1757     0.7095     0.0842
		4000    -0.6643     0.1719     0.7275     0.0833
		4160    -0.6494     0.1685     0.7415     0.0803
		4320    -0.6422     0.1859     0.7436     0.0781
		4480    -0.6207     0.1832     0.7624     0.0770
		4640    -0.5666     0.1251     0.8144     0.0748
		4800    -0.5011     0.0436     0.8643     0.0730
		4960    -0.4309    -0.0426     0.9014     0.0737
		5120    -0.3874    -0.1156     0.9146     0.0763
		5280    -0.3908    -0.1443     0.9091     0.0752
		5440    -0.4251    -0.1276     0.8961     0.0696
		5600    -0.4728    -0.1050     0.8749     0.0650
		5760    -0.5224    -0.1219     0.8439     0.0631
		5920    -0.5530    -0.1687     0.8159     0.0615
		6080    -0.5631    -0.1593     0.8109     0.0590
		6240    -0.5847    -0.1253     0.8015     0.0585
		6400    -0.6437    -0.1298     0.7542     0.0600
		6560    -0.6252    -0.2587     0.7363     0.0558

#OBJECT 4
	*NodeName swat:Neck
	*ANIMATION 0 42 0
		0    -0.6382     0.2514    -0.7277     0.3371
		160    -0.6540     0.2162    -0.7250     0.3413
		320    -0.6705     0.1765    -0.7207     0.3466
		480    -0.6853     0.1376    -0.7152     0.3525
		640    -0.6968     0.1047    -0.7096     0.3579
		800    -0.7042     0.0822    -0.7052     0.3617
		960    -0.7068     0.0743    -0.7035     0.3629
		1120    -0.7049     0.0825    -0.7045     0.3606
		1280    -0.6997     0.1039    -0.7068     0.3554
