#PSB_CHARACTER_TOOL_ANIMATION_DATA
#SCENE 0 40 30 160 27

#OBJECT 0
	*NodeName Bip01
	*ANIMATION 0 40 40
		0    -0.0868     0.9924    -0.0868     1.5784
		160    -0.0612     0.9962    -0.0612     1.5746
		320    -0.0328     0.9989    -0.0328     1.5719
		480    -0.0097     0.9999    -0.0097     1.5709
		640    -0.0000     1.0000     0.0000     1.5708
		800    -0.0003     1.0000    -0.0003     1.5708
		960    -0.0016     1.0000    -0.0016     1.5708
		1120    -0.0037     1.0000    -0.0037     1.5708
		1280    -0.0065     1.0000    -0.0065     1.5708
		1440    -0.0101     0.9999    -0.0101     1.5709
		1600    -0.0142     0.9998    -0.0142     1.5710
		1760    -0.0188     0.9996    -0.0188     1.5711
		1920    -0.0238     0.9994    -0.0238     1.5714
		2080    -0.0291     0.9992    -0.0291     1.5716
		2240    -0.0347     0.9988    -0.0347     1.5720
		2400    -0.0404     0.9984    -0.0404     1.5724
		2560    -0.0461     0.9979    -0.0461     1.5729
		2720    -0.0517     0.9973    -0.0517     1.5735
		2880    -0.0572     0.9967    -0.0572     1.5741
		3040    -0.0625     0.9961    -0.0625     1.5747
		3200    -0.0674     0.9954    -0.0674     1.5754
		3360    -0.0719     0.9948    -0.0719     1.5760
		3520    -0.0760     0.9942    -0.0760     1.5766
		3680    -0.0794     0.9937    -0.0794     1.5771
		3840    -0.0822     0.9932    -0.0822     1.5776
		4000    -0.0843     0.9929    -0.0843     1.5780
		4160    -0.0860     0.9926    -0.0860     1.5782
		4320    -0.0872     0.9924    -0.0872     1.5785
		4480    -0.0881     0.9922    -0.0881     1.5786
		4640    -0.0886     0.9921    -0.0886     1.5787
		4800    -0.0888     0.9921    -0.0888     1.5787
		4960    -0.0888     0.9921    -0.0888     1.5788
		5120    -0.0887     0.9921    -0.0887     1.5787
		5280    -0.0884     0.9922    -0.0884     1.5787
		5440    -0.0880     0.9922    -0.0880     1.5786
		5600    -0.0876     0.9923    -0.0876     1.5785
		5760    -0.0872     0.9924    -0.0872     1.5785
		5920    -0.0869     0.9924    -0.0869     1.5784
		6080    -0.0867     0.9925    -0.0867     1.5784
		6240    -0.0867     0.9925    -0.0867     1.5784
		0     0.0000  3247.4241  -582.5009
		160     0.0000  3224.1482  -440.7914
		320     0.0000  3198.4224  -271.0821
		480     0.0000  3177.5967  -157.3724
		640     0.0000  3169.0212  -183.6618
		800     0.0000  3169.1406  -419.3894
		960     0.0000  3169.4924  -802.3955
		1120     0.0000  3170.0652 -1219.2819
		1280     0.0000  3170.8494 -1556.6489
		1440     0.0000  3171.8362 -1701.0988
		1600     0.0000  3173.0142 -1664.6967
		1760     0.0000  3174.3735 -1549.3514
		1920     0.0000  3175.9043 -1376.4308
		2080     0.0000  3177.5967 -1167.3002
		2240     0.0000  3179.4402  -943.3269
		2400     0.0000  3181.4248  -725.8776
		2560     0.0000  3183.5403  -536.3192
		2720     0.0000  3185.7771  -396.0177
		2880     0.0000  3188.1245  -326.3401
		3040     0.0000  3190.5728  -377.3676
		3200     0.0000  3193.1123  -547.4212
		3360     0.0000  3195.7317  -780.2291
		3520     0.0000  3198.4224 -1019.5179
		3680     0.0000  3201.1736 -1209.0151
		3840     0.0000  3203.9744 -1292.4485
		4000     0.0000  3206.8159 -1297.3090
		4160     0.0000  3209.6880 -1289.4785
		4320     0.0000  3212.5801 -1270.2700
		4480     0.0000  3215.4822 -1240.9962
		4640     0.0000  3218.3845 -1202.9700
		4800     0.0000  3221.2764 -1157.5040
		4960     0.0000  3224.1482 -1105.9117
		5120     0.0000  3226.9897 -1049.5054
		5280     0.0000  3229.7915  -989.5982
		5440     0.0000  3232.5422  -927.5029
		5600     0.0000  3235.2327  -864.5323
		5760     0.0000  3237.8525  -801.9993
		5920     0.0000  3240.3916  -741.2169
		6080     0.0000  3242.8398  -683.4977
		6240     0.0000  3245.1875  -630.1548

#OBJECT 1
	*NodeName Bip01Footsteps
	*ANIMATION 0 40 40
		0     0.0868    -0.9924     0.0868     1.5784
		160     0.0612    -0.9962     0.0612     1.5746
		320     0.0328    -0.9989     0.0328     1.5719
		480     0.0097    -0.9999     0.0097     1.5709
		640    -0.0000    -1.0000    -0.0000     1.5708
		800     0.0003    -1.0000     0.0003     1.5708
		960     0.0016    -1.0000     0.0016     1.5708
		1120     0.0037    -1.0000     0.0037     1.5708
		1280     0.0065    -1.0000     0.0065     1.5708
		1440     0.0101    -0.9999     0.0101     1.5709
		1600     0.0142    -0.9998     0.0142     1.5710
		1760     0.0188    -0.9996     0.0188     1.5711
		1920     0.0238    -0.9994     0.0238     1.5714
		2080     0.0291    -0.9992     0.0291     1.5716
		2240     0.0347    -0.9988     0.0347     1.5720
		2400     0.0404    -0.9984     0.0404     1.5724
		2560     0.0461    -0.9979     0.0461     1.5729
		2720     0.0517    -0.9973     0.0517     1.5735
		2880     0.0572    -0.9967     0.0572     1.5741
		3040     0.0625    -0.9961     0.0625     1.5747
		3200     0.0674    -0.9954     0.0674     1.5754
		3360     0.0719    -0.9948     0.0719     1.5760
		3520     0.0760    -0.9942     0.0760     1.5766
		3680     0.0794    -0.9937     0.0794     1.5771
		3840     0.0822    -0.9932     0.0822     1.5776
		4000     0.0843    -0.9929     0.0843     1.5780
		4160     0.0860    -0.9926     0.0860     1.5782
		4320     0.0872    -0.9924     0.0872     1.5785
		4480     0.0881    -0.9922     0.0881     1.5786
		4640     0.0886    -0.9921     0.0886     1.5787
		4800     0.0888    -0.9921     0.0888     1.5787
		4960     0.0888    -0.9921     0.0888     1.5788
		5120     0.0887    -0.9921     0.0887     1.5787
		5280     0.0884    -0.9922     0.0884     1.5787
		5440     0.0880    -0.9922     0.0880     1.5786
		5600     0.0876    -0.9923     0.0876     1.5785
		5760     0.0872    -0.9924     0.0872     1.5785
		5920     0.0869    -0.9924     0.0869     1.5784
		6080     0.0867    -0.9925     0.0867     1.5784
		6240     0.0867    -0.9925     0.0867     1.5784
		0    14.4584   -81.9979    -0.0000
		160    10.0729   -81.6196     0.0000
		320     5.3604   -81.5375    -0.0000
		480     1.5747   -81.5344    -0.0000
		640    -0.0000   -81.4057    -0.0000
		800     0.0494   -80.8416    -0.0000
		960     0.2526   -81.1907    -0.0000
		1120     0.5946   -81.2282    -0.0000
		1280     1.0579   -81.0227    -0.0000
		1440     1.6262   -80.7357    -0.0000
		1600     2.2394   -78.8612    -0.0000
		1760     2.9184   -77.5294    -0.0000
		1920     3.7231   -78.0520    -0.0000
		2080     4.6681   -79.9434     0.0000
		2240     5.6267   -80.9079    -0.0000
		2400     6.5602   -81.0130     0.0000
		2560     7.5021   -81.0922     0.0000
		2720     8.4370   -81.1471    -0.0000
		2880     9.3499   -81.1803     0.0000
		3040    10.2255   -81.1951     0.0000
		3200    11.0487   -81.1954     0.0000
		3360    11.8044   -81.1857    -0.0000
		3520    12.4778   -81.1709    -0.0000
		3680    13.0541   -81.1564     0.0000
		3840    13.5185   -81.1475     0.0000
		4000    13.8798   -81.1454    -0.0000
		4160    14.1618   -81.1484     0.0000
		4320    14.3727   -81.1567    -0.0000
		4480    14.5207   -81.1703    -0.0000
		4640    14.6139   -81.1891     0.0000
		4800    14.6608   -81.2125    -0.0000
		4960    14.6693   -81.2401    -0.0000
		5120    14.6478   -81.2713    -0.0000
		5280    14.6045   -81.3056     0.0000
		5440    14.5476   -81.3422    -0.0000
		5600    14.4854   -81.3806    -0.0000
		5760    14.4261   -81.4200    -0.0000
		5920    14.3788   -81.4643    -0.0000
		6080    14.3539   -81.5245     0.0000
		6240    14.3539   -81.5681     0.0000

#OBJECT 2
	*NodeName Bip01Pelvis
	*ANIMATION 0 0 0

#OBJECT 3
	*NodeName Bip01Spine
	*ANIMATION 0 40 40
		0    -0.9404    -0.1599    -0.3001     0.1019
		160    -0.4366     0.6341    -0.6382     0.1741
		320    -0.1652     0.7735    -0.6119     0.3253
		480    -0.0777     0.7987    -0.5967     0.4557
		640    -0.0553     0.7946    -0.6046     0.5086
		800    -0.0740     0.7644    -0.6404     0.4657
		960    -0.1352     0.6885    -0.7125     0.3652
		1120    -0.2739     0.4817    -0.8324     0.2490
		1280    -0.4903    -0.0532    -0.8699     0.1765
		1440    -0.5394    -0.5791    -0.6113     0.1857
		1600    -0.5106    -0.6826    -0.5228     0.2025
		1760    -0.5394    -0.5791    -0.6113     0.1857
		1920    -0.5975    -0.3362    -0.7280     0.1594
		2080    -0.5941     0.0578    -0.8023     0.1481
		2240    -0.4880     0.4729    -0.7336     0.1661
		2400    -0.3598     0.7274    -0.5843     0.2146
		2560    -0.2779     0.8461    -0.4549     0.2847
		2720    -0.2413     0.9178    -0.3152     0.4423
		2880    -0.2562     0.9298    -0.2642     0.5489
		3040    -0.3347     0.8943    -0.2970     0.4606
		3200    -0.5144     0.7621    -0.3932     0.3134
		3360    -0.7812     0.3533    -0.5146     0.2136
		3520    -0.8228    -0.3351    -0.4591     0.2121
		3680    -0.6273    -0.7205    -0.2955     0.2887
		3840    -0.5440    -0.8055    -0.2351     0.3382
		4000    -0.5467    -0.8029    -0.2375     0.3372
		4160    -0.5692    -0.7817    -0.2549     0.3247
		4320    -0.6086    -0.7404    -0.2854     0.3041
		4480    -0.6618    -0.6743    -0.3275     0.2794
		4640    -0.7231    -0.5782    -0.3780     0.2547
		4800    -0.7820    -0.4512    -0.4300     0.2335
		4960    -0.8264    -0.3043    -0.4738     0.2179
		5120    -0.8496    -0.1628    -0.5016     0.2076
		5280    -0.8569    -0.0574    -0.5123     0.2001
		5440    -0.8602     0.0005    -0.5099     0.1913
		5600    -0.8666     0.0233    -0.4985     0.1791
		5760    -0.8776     0.0171    -0.4791     0.1643
		5920    -0.8926    -0.0133    -0.4506     0.1480
		6080    -0.9095    -0.0617    -0.4111     0.1315
		6240    -0.9256    -0.1170    -0.3600     0.1159
		0     9.2137    -0.0020    -0.0214
		160     9.2110    -0.0015    -0.0213
		320     9.2080    -0.0006    -0.0208
		480     9.2058     0.0003    -0.0200
		640     9.2050     0.0007    -0.0197
		800     9.2060     0.0004    -0.0201
		960     9.2080    -0.0003    -0.0208
		1120     9.2107    -0.0012    -0.0213
		1280     9.2135    -0.0018    -0.0214
		1440     9.2156    -0.0023    -0.0212
		1600     9.2163    -0.0023    -0.0211
		1760     9.2156    -0.0023    -0.0212
		1920     9.2145    -0.0021    -0.0213
		2080     9.2131    -0.0019    -0.0214
		2240     9.2116    -0.0016    -0.0213
		2400     9.2100    -0.0014    -0.0211
		2560     9.2082    -0.0013    -0.0208
		2720     9.2048    -0.0016    -0.0196
		2880     9.2028    -0.0021    -0.0185
		3040     9.2047    -0.0026    -0.0194
		3200     9.2082    -0.0031    -0.0206
