#PSB_CHARACTER_TOOL_ANIMATION_DATA
#SCENE 0 20 30 160 27

#OBJECT 0
	*NodeName Bip01
	*ANIMATION 0 20 20
		0    -0.0868     0.9924    -0.0868     1.5784
		160    -0.0343     0.9988    -0.0343     1.5720
		320     0.0193     0.9996     0.0193     1.5712
		480     0.0724     0.9948     0.0724     1.5761
		640     0.1234     0.9847     0.1234     1.5863
		800     0.1711     0.9703     0.1711     1.6010
		960     0.2149     0.9527     0.2149     1.6192
		1120     0.2548     0.9328     0.2548     1.6403
		1280     0.2910     0.9114     0.2910     1.6634
		1440     0.3236     0.8891     0.3236     1.6880
		1600     0.3524     0.8670     0.3524     1.7131
		1760     0.3779     0.8452     0.3779     1.7382
		1920     0.4015     0.8231     0.4015     1.7642
		2080     0.4243     0.7999     0.4243     1.7922
		2240     0.4472     0.7746     0.4472     1.8235
		2400     0.4724     0.7441     0.4724     1.8622
		2560     0.4975     0.7106     0.4975     1.9060
		2720     0.4975     0.7106     0.4975     1.9060
		2880     0.4975     0.7106     0.4975     1.9060
		3040     0.4975     0.7106     0.4975     1.9060
		0     0.0000  3247.4241  -582.5009
		160     0.0000  3286.7549  -450.1425
		320     0.0000  3358.2937  -314.7057
		480     0.0000  3413.7283  -180.8081
		640     0.0000  3404.7458   -53.0673
		800     0.0000  3283.0352    63.8992
		960     0.0000  3072.9749   169.3903
		1120     0.0000  2834.1787   267.4639
		1280     0.0000  2571.1843   360.6412
		1440     0.0000  2288.5286   451.4431
		1600     0.0000  1990.7484   542.3908
		1760     0.0000  1682.3817   636.0056
		1920     0.0000  1367.9650   734.8081
		2080     0.0000  1052.0359   841.3195
		2240     0.0000   739.1321   958.0612
		2400     0.0000   433.7895  1159.5500
		2560     0.0000   140.5470  1413.5668
		2720     0.0000   140.5470  1413.5668
		2880     0.0000   140.5470  1413.5668
		3040     0.0000   140.5470  1413.5668

#OBJECT 1
	*NodeName Bip01Footsteps
	*ANIMATION 0 20 20
		0     0.0868    -0.9924     0.0868     1.5784
		160     0.0343    -0.9988     0.0343     1.5720
		320    -0.0193    -0.9996    -0.0193     1.5712
		480    -0.0724    -0.9948    -0.0724     1.5761
		640    -0.1234    -0.9847    -0.1234     1.5863
		800    -0.1711    -0.9703    -0.1711     1.6010
		960    -0.2149    -0.9527    -0.2149     1.6192
		1120    -0.2548    -0.9328    -0.2548     1.6403
		1280    -0.2910    -0.9114    -0.2910     1.6634
		1440    -0.3236    -0.8891    -0.3236     1.6880
		1600    -0.3524    -0.8670    -0.3524     1.7131
		1760    -0.3779    -0.8452    -0.3779     1.7382
		1920    -0.4015    -0.8231    -0.4015     1.7642
		2080    -0.4243    -0.7999    -0.4243     1.7922
		2240    -0.4472    -0.7746    -0.4472     1.8235
		2400    -0.4724    -0.7441    -0.4724     1.8622
		2560    -0.4975    -0.7106    -0.4975     1.9060
		2720    -0.4975    -0.7106    -0.4975     1.9060
		2880    -0.4975    -0.7106    -0.4975     1.9060
		3040    -0.4975    -0.7106    -0.4975     1.9060
		0    14.3833   -81.5717    -0.0000
		160     5.7438   -83.6320     0.0000
		320    -3.2981   -85.3331     0.0000
		480   -12.1605   -83.1540     0.0000
		640   -20.2271   -79.4443     0.0000
		800   -26.8442   -73.7540     0.0000
		960   -31.0248   -65.2890     0.0000
		1120   -30.9558   -52.4362     0.0000
		1280   -24.5572   -34.5340     0.0000
		1440   -12.5178   -14.9182     0.0000
		1600    -2.3598    -2.4234     0.0000
		1760     5.6797     5.0813    -0.0000
