#PSB_CHARACTER_TOOL_ANIMATION_DATA
#SCENE 0 60 30 160 27

#OBJECT 0
	*NodeName Bip01
	*ANIMATION 0 60 60
		0    -0.0868     0.9924    -0.0868     1.5784
		160    -0.0840     0.9929    -0.0840     1.5779
		320    -0.0809     0.9934    -0.0809     1.5774
		480    -0.0775     0.9940    -0.0775     1.5768
		640    -0.0740     0.9945    -0.0740     1.5763
		800    -0.0705     0.9950    -0.0705     1.5758
		960    -0.0669     0.9955    -0.0669     1.5753
		1120    -0.0633     0.9960    -0.0633     1.5748
		1280    -0.0599     0.9964    -0.0599     1.5744
		1440    -0.0566     0.9968    -0.0566     1.5740
		1600    -0.0535     0.9971    -0.0535     1.5737
		1760    -0.0507     0.9974    -0.0507     1.5734
		1920    -0.0483     0.9977    -0.0483     1.5731
		2080    -0.0463     0.9978    -0.0463     1.5729
		2240    -0.0449     0.9980    -0.0449     1.5728
		2400    -0.0439     0.9981    -0.0439     1.5727
		2560    -0.0436     0.9981    -0.0436     1.5727
		2720    -0.0441     0.9981    -0.0441     1.5727
		2880    -0.0455     0.9979    -0.0455     1.5729
		3040    -0.0476     0.9977    -0.0476     1.5731
		3200    -0.0504     0.9975    -0.0504     1.5733
		3360    -0.0537     0.9971    -0.0537     1.5737
		3520    -0.0574     0.9967    -0.0574     1.5741
		3680    -0.0614     0.9962    -0.0614     1.5746
		3840    -0.0655     0.9957    -0.0655     1.5751
		4000    -0.0695     0.9952    -0.0695     1.5757
		4160    -0.0735     0.9946    -0.0735     1.5762
		4320    -0.0772     0.9940    -0.0772     1.5768
		4480    -0.0805     0.9935    -0.0805     1.5773
		4640    -0.0833     0.9930    -0.0833     1.5778
		4800    -0.0854     0.9927    -0.0854     1.5781
		4960    -0.0868     0.9924    -0.0868     1.5784
		5120    -0.0877     0.9923    -0.0877     1.5786
		5280    -0.0885     0.9921    -0.0885     1.5787
		5440    -0.0892     0.9920    -0.0892     1.5788
		5600    -0.0897     0.9919    -0.0897     1.5789
		5760    -0.0902     0.9918    -0.0902     1.5790
		5920    -0.0905     0.9918    -0.0905     1.5791
		6080    -0.0908     0.9917    -0.0908     1.5791
		6240    -0.0909     0.9917    -0.0909     1.5791
		6400    -0.0910     0.9917    -0.0910     1.5791
		6560    -0.0910     0.9917    -0.0910     1.5791
		6720    -0.0910     0.9917    -0.0910     1.5791
		6880    -0.0909     0.9917    -0.0909     1.5791
		7040    -0.0907     0.9917    -0.0907     1.5791
		7200    -0.0905     0.9918    -0.0905     1.5790
		7360    -0.0902     0.9918    -0.0902     1.5790
		7520    -0.0900     0.9919    -0.0900     1.5790
		7680    -0.0897     0.9919    -0.0897     1.5789
		7840    -0.0894     0.9920    -0.0894     1.5788
		8000    -0.0890     0.9920    -0.0890     1.5788
		8160    -0.0887     0.9921    -0.0887     1.5787
		8320    -0.0884     0.9922    -0.0884     1.5787
		8480    -0.0881     0.9922    -0.0881     1.5786
		8640    -0.0878     0.9923    -0.0878     1.5786
		8800    -0.0875     0.9923    -0.0875     1.5785
		8960    -0.0873     0.9924    -0.0873     1.5785
		9120    -0.0871     0.9924    -0.0871     1.5784
		9280    -0.0870     0.9924    -0.0870     1.5784
		9440    -0.0869     0.9924    -0.0869     1.5784
		0     0.0000  3247.4241  -582.5009
		160     0.0795  3260.4006  -582.5009
		320     0.3075  3274.7813  -582.5009
		480     0.6680  3290.2419  -582.5009
		640     1.1451  3306.4590  -582.5009
		800     1.7229  3323.1074  -582.5009
		960     2.3856  3339.8645  -582.5009
		1120     3.1171  3356.4055  -582.5009
		1280     3.9017  3372.4063  -582.5009
		1440     4.7234  3387.5432  -582.5009
		1600     5.5663  3401.4915  -582.5009
		1760     6.4145  3413.9275  -582.5009
		1920     7.2521  3424.5276  -582.5009
		2080     8.0632  3432.9675  -582.5009
		2240     8.8319  3438.9224  -582.5009
		2400     9.5423  3442.0693  -582.5009
		2560    10.1784  3442.0837  -582.5009
		2720    10.7245  3437.6008  -582.5009
		2880    11.1645  3427.9978  -582.5009
		3040    11.4825  3414.0630  -582.5009
		3200    11.6628  3396.5852  -582.5009
		3360    11.6893  3376.3521  -582.5009
		3520    11.5461  3354.1526  -582.5009
		3680    11.2175  3330.7756  -582.5009
		3840    10.6873  3307.0085  -582.5009
		4000     9.9399  3283.6409  -582.5009
		4160     8.9591  3261.4604  -582.5009
		4320     7.7292  3241.2561  -582.5009
		4480     6.2343  3223.8157  -582.5009
		4640     4.4584  3209.9287  -582.5009
		4800     2.3856  3200.3826  -582.5009
		4960     0.0000  3195.9658  -582.5009
		5120    -3.3850  3196.1824  -582.5009
		5280    -8.3057  3199.7466  -582.5009
		5440   -14.5524  3206.2632  -582.5009
		5600   -21.9155  3215.3372  -582.5009
		5760   -30.1853  3226.5730  -582.5009
		5920   -39.1523  3239.5769  -582.5009
		6080   -48.6066  3253.9531  -582.5009
		6240   -58.3388  3269.3054  -582.5009
		6400   -68.1391  3285.2402  -582.5009
		6560   -77.7979  3301.3618  -582.5009
		6720   -87.1055  3317.2749  -582.5009
		6880   -95.8523  3332.5847  -582.5009
		7040  -103.8286  3346.8965  -582.5009
		7200  -110.8249  3359.8142  -582.5009
		7360  -116.6313  3370.9438  -582.5009
		7520  -121.0383  3379.8896  -582.5009
		7680  -123.8363  3386.2563  -582.5009
		7840  -124.8155  3389.6497  -582.5009
		8000  -122.8463  3388.8718  -582.5009
		8160  -117.3135  3383.4768  -582.5009
		8320  -108.7799  3374.1929  -582.5009
		8480   -97.8081  3361.7493  -582.5009
		8640   -84.9608  3346.8755  -582.5009
		8800   -70.8007  3330.3000  -582.5009
		8960   -55.8904  3312.7529  -582.5009
		9120   -40.7925  3294.9624  -582.5009
		9280   -26.0697  3277.6582  -582.5009
		9440   -12.2846  3261.5691  -582.5009

#OBJECT 1
	*NodeName Bip01Footsteps
	*ANIMATION 0 60 60
		0     0.0868    -0.9924     0.0868     1.5784
		160     0.0840    -0.9929     0.0840     1.5779
		320     0.0809    -0.9934     0.0809     1.5774
		480     0.0775    -0.9940     0.0775     1.5768
		640     0.0740    -0.9945     0.0740     1.5763
		800     0.0705    -0.9950     0.0705     1.5758
		960     0.0669    -0.9955     0.0669     1.5753
		1120     0.0633    -0.9960     0.0633     1.5748
		1280     0.0599    -0.9964     0.0599     1.5744
		1440     0.0566    -0.9968     0.0566     1.5740
		1600     0.0535    -0.9971     0.0535     1.5737
		1760     0.0507    -0.9974     0.0507     1.5734
		1920     0.0483    -0.9977     0.0483     1.5731
		2080     0.0463    -0.9978     0.0463     1.5729
		2240     0.0449    -0.9980     0.0449     1.5728
		2400     0.0439    -0.9981     0.0439     1.5727
